"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1152","Проверка перехода на главную страницу по логотипу Самоката","tests","2026-01-12","passed","2026-01-12","TestScooterLogo","test_order","",""
"","1494","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","4036","Проверка перехода на Дзен по логотипу Яндекса","tests","2026-01-12","passed","2026-01-12","TestYandexLogo","test_order","",""
"","1460","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","1581","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","3184","Заказ самоката через нижнюю кнопку с первым набором данных","tests","2026-01-12","passed","2026-01-12","TestOrderBottomButtonFirstDataset","test_order","",""
"","3347","Заказ самоката через нижнюю кнопку со вторым набором данных","tests","2026-01-12","passed","2026-01-12","TestOrderBottomButtonSecondDataset","test_order","",""
"","1598","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","3268","Заказ самоката через верхнюю кнопку со вторым набором данных","tests","2026-01-12","passed","2026-01-12","TestOrderTopButtonSecondDataset","test_order","",""
"","3256","Заказ самоката через верхнюю кнопку с первым набором данных","tests","2026-01-12","passed","2026-01-12","TestOrderTopButtonFirstDataset","test_order","",""
"","1595","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","1625","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","1457","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
"","1911","Проверка соответствия вопроса и ответа","tests","2026-01-12","passed","2026-01-12","TestQuestions","test_questions","",""
